Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Morten Bering;2
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Bjarke Bisgaard Yolal;1
1. Østerbro;3. 1. Syd;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;33
1. Østerbro;3. 1. Syd;H;Borgernes Parti - Lars Boje Mathiesen;Rikke Hansen;3
1. Østerbro;3. 1. Syd;H;Borgernes Parti - Lars Boje Mathiesen;Flemming Steenlykke;3
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Partiliste;426
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Ole Birk Olesen;29
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Mads Strange;69
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Alexander Ryle;20
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Merete Riisager;18
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Per Nørgaard Andersen;1
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Charlotte Nellemann;1
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Line Østergaard Olsen;0
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Laura Emilie Fabricius-Lauritzen;3
1. Østerbro;3. 1. Syd;I;Liberal Alliance;Torben Guldbæk;3
1. Østerbro;3. 1. Syd;M;Moderaterne;Partiliste;386
